run_id,config_hash,git_sha,arm,ablation_flag,t_prime,T,model,reasoning_mode,n_tasks,permanent_failures_before_retry,retried,freshness_errors,accuracy_pct
d14_baseline,31e6a01df61bf4d5,6ba168ee747f,grounding,False,2024-04-13,2024-04-27,nvidia/nemotron-3-ultra-550b-a55b,ON,180,5,True,4,69.4
d14_baseline_pre_retry_backup,31e6a01df61bf4d5,6ba168ee747f,grounding,False,2024-04-13,2024-04-27,nvidia/nemotron-3-ultra-550b-a55b,ON,180,5,False,4,67.8
d1_ablation,71e75e0867f37c01,a71411139e36,grounding_no_freshness_tiers,True,2024-04-26,2024-04-27,nvidia/nemotron-3-ultra-550b-a55b,OFF,180,14,True,7,66.7
d1_ablation_pre_retry_backup,71e75e0867f37c01,a71411139e36,grounding_no_freshness_tiers,True,2024-04-26,2024-04-27,nvidia/nemotron-3-ultra-550b-a55b,OFF,180,14,False,7,61.7
d1_baseline,06e9fbdfe5d0b7d4,ecc528841f09,grounding,False,2024-04-26,2024-04-27,nvidia/nemotron-3-ultra-550b-a55b,OFF,180,0,False,7,67.2
d1_prefix_baseline,06e9fbdfe5d0b7d4,6ba168ee747f,grounding,False,2024-04-26,2024-04-27,nvidia/nemotron-3-ultra-550b-a55b,ON,180,0,False,6,67.2
d28_ablation,1d64ea6fe73b4de3,a71411139e36,grounding_no_freshness_tiers,True,2024-03-29,2024-04-27,nvidia/nemotron-3-ultra-550b-a55b,OFF,180,4,True,45,36.7
d28_ablation_pre_retry_backup,1d64ea6fe73b4de3,a71411139e36,grounding_no_freshness_tiers,True,2024-03-29,2024-04-27,nvidia/nemotron-3-ultra-550b-a55b,OFF,180,4,False,45,36.1
d28_matched_baseline,6326534d90587f84,a71411139e36,grounding,False,2024-03-29,2024-04-27,nvidia/nemotron-3-ultra-550b-a55b,OFF,180,24,True,4,65.0
d28_matched_baseline_pre_retry_backup,6326534d90587f84,a71411139e36,grounding,False,2024-03-29,2024-04-27,nvidia/nemotron-3-ultra-550b-a55b,OFF,180,24,False,4,57.2
